,Name,Episodes
10,Albert Einstein,['https://rickandmortyapi.com/api/episode/12']
11,Alexander,['https://rickandmortyapi.com/api/episode/3']
12,Alien Googah,['https://rickandmortyapi.com/api/episode/31']
13,Alien Morty,['https://rickandmortyapi.com/api/episode/10']
14,Alien Rick,['https://rickandmortyapi.com/api/episode/10']
15,Amish Cyborg,['https://rickandmortyapi.com/api/episode/15']
16,Annie,['https://rickandmortyapi.com/api/episode/3']
17,Antenna Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
18,Antenna Rick,['https://rickandmortyapi.com/api/episode/10']
19,Ants in my Eyes Johnson,['https://rickandmortyapi.com/api/episode/8']
20,Aqua Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']"
21,Aqua Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']"
22,Arcade Alien,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26']"
23,Armagheadon,['https://rickandmortyapi.com/api/episode/16']
24,Armothy,['https://rickandmortyapi.com/api/episode/23']
25,Arthricia,['https://rickandmortyapi.com/api/episode/20']
26,Artist Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
27,Attila Starwar,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
28,Baby Legs,['https://rickandmortyapi.com/api/episode/8']
29,Baby Poopybutthole,['https://rickandmortyapi.com/api/episode/31']
30,Baby Wizard,['https://rickandmortyapi.com/api/episode/15']
31,Bearded Lady,['https://rickandmortyapi.com/api/episode/15']
32,Beebo,['https://rickandmortyapi.com/api/episode/29']
33,Benjamin,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
34,Bepisian,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/25']"
35,Beta-Seven,['https://rickandmortyapi.com/api/episode/14']
36,Beth Sanchez,['https://rickandmortyapi.com/api/episode/8']
37,Beth Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
38,Beth Smith,['https://rickandmortyapi.com/api/episode/10']
39,Beth's Mytholog,['https://rickandmortyapi.com/api/episode/18']
40,Big Boobed Waitress,['https://rickandmortyapi.com/api/episode/5']
41,Big Head Morty,['https://rickandmortyapi.com/api/episode/22']
42,Big Morty,['https://rickandmortyapi.com/api/episode/28']
43,Body Guard Morty,['https://rickandmortyapi.com/api/episode/28']
44,Bill,['https://rickandmortyapi.com/api/episode/3']
45,Bill,['https://rickandmortyapi.com/api/episode/2']
46,Birdperson,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/51']"
47,Black Rick,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']"
48,Blamph,['https://rickandmortyapi.com/api/episode/19']
49,Blim Blam,['https://rickandmortyapi.com/api/episode/14']
50,Blue Diplomat,['https://rickandmortyapi.com/api/episode/19']
51,Blue Footprint Guy,['https://rickandmortyapi.com/api/episode/23']
52,Blue Shirt Morty,['https://rickandmortyapi.com/api/episode/10']
53,Bobby Moynihan,['https://rickandmortyapi.com/api/episode/8']
54,Boobloosian,"['https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']"
55,Bootleg Portal Chemist Rick,['https://rickandmortyapi.com/api/episode/28']
56,Borpocian,['https://rickandmortyapi.com/api/episode/22']
57,Brad,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/46']"
58,Brad Anderson,['https://rickandmortyapi.com/api/episode/7']
59,Calypso,['https://rickandmortyapi.com/api/episode/25']
60,Campaign Manager Morty,['https://rickandmortyapi.com/api/episode/28']
61,Canklanker Thom,['https://rickandmortyapi.com/api/episode/1']
62,Centaur,['https://rickandmortyapi.com/api/episode/2']
63,Chris,['https://rickandmortyapi.com/api/episode/12']
64,Chris,['https://rickandmortyapi.com/api/episode/17']
65,Coach Feratu (Balik Alistane),['https://rickandmortyapi.com/api/episode/18']
66,Collector,['https://rickandmortyapi.com/api/episode/29']
67,Colossus,['https://rickandmortyapi.com/api/episode/23']
68,Commander Rick,['https://rickandmortyapi.com/api/episode/22']
69,Concerto,['https://rickandmortyapi.com/api/episode/24']
70,Conroy,['https://rickandmortyapi.com/api/episode/22']
71,Cool Rick,['https://rickandmortyapi.com/api/episode/28']
72,Cop Morty,['https://rickandmortyapi.com/api/episode/28']
73,Cop Rick,['https://rickandmortyapi.com/api/episode/28']
74,Courier Flap,['https://rickandmortyapi.com/api/episode/21']
75,Cousin Nicky,['https://rickandmortyapi.com/api/episode/15']
76,Cowboy Morty,['https://rickandmortyapi.com/api/episode/10']
77,Cowboy Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
78,Crab Spider,['https://rickandmortyapi.com/api/episode/10']
79,Creepy Little Girl,['https://rickandmortyapi.com/api/episode/2']
80,Crocubot,['https://rickandmortyapi.com/api/episode/25']
81,Cronenberg Rick,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/10']"
82,Cronenberg Morty,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/10']"
83,Cult Leader Morty,['https://rickandmortyapi.com/api/episode/10']
84,Cyclops Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']"
85,Cyclops Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']"
86,Cynthia,['https://rickandmortyapi.com/api/episode/4']
87,Cynthia,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/25']"
88,Dale,['https://rickandmortyapi.com/api/episode/5']
89,Daron Jefferson,['https://rickandmortyapi.com/api/episode/14']
90,David Letterman,['https://rickandmortyapi.com/api/episode/8']
91,Davin,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/6']"
92,Diablo Verde,['https://rickandmortyapi.com/api/episode/25']
93,Diane Sanchez,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
94,Dipper and Mabel Mortys,['https://rickandmortyapi.com/api/episode/22']
95,Tuberculosis,['https://rickandmortyapi.com/api/episode/3']
96,Gonorrhea,['https://rickandmortyapi.com/api/episode/3']
97,Hepatitis A,['https://rickandmortyapi.com/api/episode/3']
98,Hepatitis C,['https://rickandmortyapi.com/api/episode/3']
99,Bubonic Plague,['https://rickandmortyapi.com/api/episode/3']
100,E. Coli,['https://rickandmortyapi.com/api/episode/3']
101,Donna Gueterman,['https://rickandmortyapi.com/api/episode/21']
102,Doofus Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']"
103,Doom-Nomitron,['https://rickandmortyapi.com/api/episode/25']
104,Dr. Glip-Glop,['https://rickandmortyapi.com/api/episode/19']
105,Dr. Schmidt,['https://rickandmortyapi.com/api/episode/13']
106,Dr. Wong,"['https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/41']"
107,Dr. Xenon Bloom,['https://rickandmortyapi.com/api/episode/3']
108,Duck With Muscles,['https://rickandmortyapi.com/api/episode/15']
109,Eli,['https://rickandmortyapi.com/api/episode/23']
110,Eli's Girlfriend,['https://rickandmortyapi.com/api/episode/23']
111,Eric McMan,['https://rickandmortyapi.com/api/episode/3']
112,Eric Stoltz Mask Morty,['https://rickandmortyapi.com/api/episode/10']
113,Ethan,['https://rickandmortyapi.com/api/episode/3']
114,Ethan,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/26']"
115,Evil Beth Clone,['https://rickandmortyapi.com/api/episode/5']
116,Evil Jerry Clone,['https://rickandmortyapi.com/api/episode/5']
117,Evil Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/51']"
118,Evil Rick,['https://rickandmortyapi.com/api/episode/10']
119,Evil Summer Clone,['https://rickandmortyapi.com/api/episode/5']
120,Eyehole Man,['https://rickandmortyapi.com/api/episode/19']
121,Fart,['https://rickandmortyapi.com/api/episode/13']
122,Fat Morty,['https://rickandmortyapi.com/api/episode/28']
123,Father Bob,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/27']"
124,Flansian,"['https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']"
125,Fleeb,['https://rickandmortyapi.com/api/episode/19']
126,Frank Palicky,['https://rickandmortyapi.com/api/episode/1']
127,Frankenstein's Monster,['https://rickandmortyapi.com/api/episode/15']
128,Fulgora,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
129,Galactic Federation President,['https://rickandmortyapi.com/api/episode/21']
130,Gar Gloonch,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']"
131,Gar's Mytholog,['https://rickandmortyapi.com/api/episode/18']
132,Garblovian,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']"
133,Garmanarnar,['https://rickandmortyapi.com/api/episode/8']
134,Garment District Rick,['https://rickandmortyapi.com/api/episode/28']
135,Gazorpazorpfield,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13']"
136,Gene,"['https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/49']"
137,General Nathan,['https://rickandmortyapi.com/api/episode/16']
138,General Store Owner,['https://rickandmortyapi.com/api/episode/20']
139,Genital Washer,['https://rickandmortyapi.com/api/episode/23']
140,Ghost in a Jar,['https://rickandmortyapi.com/api/episode/15']
141,Gibble Snake,['https://rickandmortyapi.com/api/episode/26']
142,Glasses Morty,['https://rickandmortyapi.com/api/episode/28']
143,Glenn,['https://rickandmortyapi.com/api/episode/1']
144,Glenn,['https://rickandmortyapi.com/api/episode/8']
145,Glexo Slim Slom,['https://rickandmortyapi.com/api/episode/18']
146,Gobo,['https://rickandmortyapi.com/api/episode/29']
147,Goddess Beth,['https://rickandmortyapi.com/api/episode/18']
148,Gordon Lunas,['https://rickandmortyapi.com/api/episode/29']
149,Cornvelious Daniel,['https://rickandmortyapi.com/api/episode/22']
150,Gwendolyn,['https://rickandmortyapi.com/api/episode/7']
151,Hammerhead Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']"
152,Hamster In Butt,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/19']"
153,Hamurai,['https://rickandmortyapi.com/api/episode/15']
154,Harold,['https://rickandmortyapi.com/api/episode/6']
155,Hemorrhage,['https://rickandmortyapi.com/api/episode/23']
156,Hole in the Wall Where the Men Can See it All,['https://rickandmortyapi.com/api/episode/8']
157,Hookah Alien,['https://rickandmortyapi.com/api/episode/1']
158,Hunter,['https://rickandmortyapi.com/api/episode/17']
159,Hunter's Father,['https://rickandmortyapi.com/api/episode/17']
160,Hydrogen-F,['https://rickandmortyapi.com/api/episode/16']
161,Ice-T,['https://rickandmortyapi.com/api/episode/16']
162,Ideal Jerry,['https://rickandmortyapi.com/api/episode/18']
163,Insurance Rick,['https://rickandmortyapi.com/api/episode/10']
164,Investigator Rick,['https://rickandmortyapi.com/api/episode/28']
165,Invisi-trooper,['https://rickandmortyapi.com/api/episode/31']
166,Izzy,['https://rickandmortyapi.com/api/episode/24']
167,Jackie,['https://rickandmortyapi.com/api/episode/7']
168,Jacob,"['https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/15']"
169,Jacqueline,['https://rickandmortyapi.com/api/episode/27']
170,Jaguar,['https://rickandmortyapi.com/api/episode/24']
171,Jamey,['https://rickandmortyapi.com/api/episode/16']
172,Jan-Michael Vincent,['https://rickandmortyapi.com/api/episode/19']
173,Jerry 5-126,['https://rickandmortyapi.com/api/episode/13']
174,Jerry Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22']"
175,Celebrity Jerry,['https://rickandmortyapi.com/api/episode/8']
176,Jerry Smith,['https://rickandmortyapi.com/api/episode/10']
177,Jerry's Mytholog,['https://rickandmortyapi.com/api/episode/18']
178,Jessica,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6']"
179,Jessica,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/42']"
180,Jessica's Friend,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/27']"
181,Jim,['https://rickandmortyapi.com/api/episode/16']
182,Johnny Depp,['https://rickandmortyapi.com/api/episode/8']
183,Jon,['https://rickandmortyapi.com/api/episode/8']
184,Joseph Eli Lipkip,['https://rickandmortyapi.com/api/episode/30']
185,Joyce Smith,['https://rickandmortyapi.com/api/episode/3']
186,Juggling Rick,['https://rickandmortyapi.com/api/episode/28']
187,Karen Entity,['https://rickandmortyapi.com/api/episode/14']
188,Katarina,['https://rickandmortyapi.com/api/episode/24']
189,Keara,['https://rickandmortyapi.com/api/episode/30']
190,Kevin,['https://rickandmortyapi.com/api/episode/4']
191,King Flippy Nips,['https://rickandmortyapi.com/api/episode/9']
192,King Jellybean,['https://rickandmortyapi.com/api/episode/5']
193,Kozbian,['https://rickandmortyapi.com/api/episode/21']
194,Kristen Stewart,['https://rickandmortyapi.com/api/episode/8']
195,Krombopulos Michael,['https://rickandmortyapi.com/api/episode/13']
196,Kyle,['https://rickandmortyapi.com/api/episode/17']
197,Lady Katana,['https://rickandmortyapi.com/api/episode/25']
198,Larva Alien,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']"
199,Lawyer Morty,['https://rickandmortyapi.com/api/episode/22']
200,Leonard Smith,['https://rickandmortyapi.com/api/episode/3']
201,Lighthouse Keeper,['https://rickandmortyapi.com/api/episode/20']
202,Lil B,"['https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/48']"
203,Lisa,['https://rickandmortyapi.com/api/episode/26']
204,Little Dipper,['https://rickandmortyapi.com/api/episode/19']
205,Lizard Morty,['https://rickandmortyapi.com/api/episode/28']
206,Loggins,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
207,Logic,['https://rickandmortyapi.com/api/episode/25']
208,Long Sleeved Morty,['https://rickandmortyapi.com/api/episode/10']
209,Lucy,['https://rickandmortyapi.com/api/episode/11']
210,Ma-Sha,['https://rickandmortyapi.com/api/episode/7']
211,Magma-Q,['https://rickandmortyapi.com/api/episode/16']
212,Magnesium-J,['https://rickandmortyapi.com/api/episode/16']
213,Man Painted Silver Who Makes Robot Noises,['https://rickandmortyapi.com/api/episode/8']
214,Maximums Rickimus,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
